kmeansPP
Cluster1 Metric	Cluster1 Size	Cluster2 Metric	Cluster2 Size	JSHat	Purity	Fowlkes-Mallows Index
Feedback	 4 	Gender	 2 	 0.24878724878724878 	 0.8809523809523809 	 0.484362944145924
Feedback	 4 	Grade	 4 	 0.36261655011655014 	 0.5 	 0.40849679919689624
Feedback	 4 	Title	 4 	 0.22013888888888886 	 0.5 	 0.33821109918812275
Gender	 2 	Grade	 5 	 0.2570521938942992 	 0.38095238095238093 	 0.47421420427504424
Gender	 2 	Title	 5 	 0.19107396870554766 	 0.42857142857142855 	 0.5257680576477809
Gender	 2 	Wage	 5 	 0.19346755662545134 	 0.35714285714285715 	 0.458559234806224
Grade	 5 	Title	 5 	 0.22145021645021642 	 0.5 	 0.33675429024094855
Grade	 5 	Wage	 5 	 0.18064935064935064 	 0.38095238095238093 	 0.27756124316429764
Wage	 5 	Title	 5 	 0.2340763673890609 	 0.7142857142857143 	 0.4491547701686472
Research	 5 	Gender	 2 	 0.19770929466051418 	 0.8809523809523809 	 0.5425145478026917
Research	 5 	Grade	 5 	 0.23047138047138044 	 0.38095238095238093 	 0.3416293828349983
Research	 5 	Title	 5 	 0.26958440387649313 	 0.6190476190476191 	 0.46001360665265234
Research	 5 	Wage	 5 	 0.1985779405779406 	 0.42857142857142855 	 0.3651251898542813
Feedback	 5 	Wage	 5 	 0.2502470355731225 	 0.5238095238095238 	 0.34499132350269485
Feedback	 5 	Research	 5 	 0.20225422427035333 	 0.5952380952380952 	 0.3437728968262717
Feedback	 5 	Gender	 2 	 0.24305184305184308 	 0.8809523809523809 	 0.48017998045705557
Feedback	 5 	Grade	 5 	 0.311002886002886 	 0.5 	 0.38386553534407847
Feedback	 5 	Title	 5 	 0.16502525252525252 	 0.5238095238095238 	 0.3171663598295633
Gonzales
Cluster1 Metric	Cluster1 Size	Cluster2 Metric	Cluster2 Size	JSHat	Purity	Fowlkes-Mallows Index
Could not get feedback for: BROWN,RICHARD B
Could not get feedback for: JOHNSON,CARTER
Could not get feedback for: LIU,FENG
Could not get feedback for: ZHE,SHANDIAN
Gender	 2 	Grade	 2 	 0.4517374517374517 	 0.8333333333333334 	 0.7308745778485847
Gender	 2 	Title	 2 	 0.46566110397946087 	 0.6190476190476191 	 0.6369381727432908
Gender	 2 	Wage	 2 	 0.4420849420849421 	 0.9761904761904762 	 0.8633503562257498
Grade	 2 	Title	 2 	 0.4564777327935223 	 0.6428571428571429 	 0.6405643318473071
Grade	 2 	Wage	 2 	 0.41904761904761906 	 0.9761904761904762 	 0.8238527544921507
Wage	 2 	Title	 2 	 0.4927409988385598 	 0.6190476190476191 	 0.7044458795997485
Research	 2 	Gender	 2 	 0.4485199485199485 	 0.8809523809523809 	 0.7704447632711621
Research	 2 	Grade	 2 	 0.45699614890885754 	 0.8333333333333334 	 0.7608899609224485
Research	 2 	Title	 2 	 0.4701923076923077 	 0.6428571428571429 	 0.6650125825611769
Research	 2 	Wage	 2 	 0.4420849420849421 	 0.9761904761904762 	 0.8633503562257498
Feedback	 2 	Wage	 2 	 0.42350332594235035 	 0.9761904761904762 	 0.7872232109942644
Feedback	 2 	Research	 2 	 0.4214285714285714 	 0.8809523809523809 	 0.7149069163199224
Feedback	 2 	Gender	 2 	 0.3901689708141321 	 0.8809523809523809 	 0.6693092086730937
Feedback	 2 	Grade	 2 	 0.761038961038961 	 0.9047619047619048 	 0.8738743988715869
Feedback	 2 	Title	 2 	 0.4230480480480481 	 0.6190476190476191 	 0.5795639959148264
Gender	 2 	Grade	 3 	 0.30973830973830974 	 0.6428571428571429 	 0.5741203647022324
Gender	 2 	Title	 3 	 0.3171052631578947 	 0.47619047619047616 	 0.5599874001475669
Gender	 2 	Wage	 3 	 0.299013299013299 	 0.8809523809523809 	 0.7669096502716753
Grade	 3 	Title	 3 	 0.27712842712842717 	 0.5238095238095238 	 0.4427999949966593
Grade	 3 	Wage	 3 	 0.32200854700854703 	 0.8809523809523809 	 0.6553836410367926
Wage	 3 	Title	 3 	 0.3173639226270805 	 0.5 	 0.5636433862175754
Research	 3 	Gender	 2 	 0.3097005863373001 	 0.8809523809523809 	 0.6288400030722507
Research	 3 	Grade	 3 	 0.31587170296847716 	 0.6428571428571429 	 0.5401698954497988
Research	 3 	Title	 3 	 0.31902356902356904 	 0.5476190476190477 	 0.4961220740027199
Research	 3 	Wage	 3 	 0.3141025641025641 	 0.8809523809523809 	 0.6940697681236128
Feedback	 3 	Wage	 3 	 0.24374724374724377 	 0.8809523809523809 	 0.561518357483943
Feedback	 3 	Research	 3 	 0.25153318903318905 	 0.6904761904761905 	 0.4552320000442774
Feedback	 3 	Gender	 2 	 0.31818339520521804 	 0.8809523809523809 	 0.5166689040937237
Feedback	 3 	Grade	 3 	 0.45852925809822365 	 0.7857142857142857 	 0.5952556656177883
Feedback	 3 	Title	 3 	 0.2237823904490571 	 0.47619047619047616 	 0.3712599767870956
Gender	 2 	Grade	 4 	 0.28260135135135134 	 0.5238095238095238 	 0.532666147859776
Gender	 2 	Title	 4 	 0.2383357041251778 	 0.4523809523809524 	 0.5425121870945956
Gender	 2 	Wage	 4 	 0.25242489876636215 	 0.8095238095238095 	 0.7307397179475905
Grade	 4 	Title	 4 	 0.2202284946236559 	 0.5238095238095238 	 0.3825654624093846
Grade	 4 	Wage	 4 	 0.2721283783783784 	 0.8095238095238095 	 0.5248178323583124
Wage	 4 	Title	 4 	 0.2941207184628237 	 0.5 	 0.5254656886162158
Research	 4 	Gender	 2 	 0.2367176386913229 	 0.8809523809523809 	 0.5714107697860392
Research	 4 	Grade	 4 	 0.26578054298642534 	 0.5476190476190477 	 0.3966354904387637
Research	 4 	Title	 4 	 0.22544477028347998 	 0.5 	 0.4214498924337814
Research	 4 	Wage	 4 	 0.2576764264264264 	 0.8095238095238095 	 0.5883337874918865
Feedback	 4 	Wage	 4 	 0.22148292883587 	 0.8095238095238095 	 0.508259622502763
Feedback	 4 	Research	 4 	 0.21670258620689653 	 0.5952380952380952 	 0.39021296284740437
Feedback	 4 	Gender	 2 	 0.3199383594120436 	 0.9047619047619048 	 0.5195004639419285
Feedback	 4 	Grade	 4 	 0.39506847319347316 	 0.6904761904761905 	 0.4974592424968688
Feedback	 4 	Title	 4 	 0.20731060606060608 	 0.5238095238095238 	 0.3484782280508353
Gender	 2 	Grade	 5 	 0.22875770507349452 	 0.35714285714285715 	 0.4515106845978034
Gender	 2 	Title	 5 	 0.19107396870554766 	 0.42857142857142855 	 0.5257680576477809
Gender	 2 	Wage	 5 	 0.2086130086130086 	 0.4523809523809524 	 0.5685282117696195
Grade	 5 	Title	 5 	 0.24432234432234434 	 0.5238095238095238 	 0.34291187119842637
Grade	 5 	Wage	 5 	 0.2858695652173913 	 0.6190476190476191 	 0.39210816577388596
Wage	 5 	Title	 5 	 0.6607142857142857 	 0.7380952380952381 	 0.579408336160818
Research	 5 	Gender	 2 	 0.19286938760622968 	 0.8809523809523809 	 0.48103283251314566
Research	 5 	Grade	 5 	 0.28455433455433454 	 0.4523809523809524 	 0.34064457712613766
Research	 5 	Title	 5 	 0.21378671775223496 	 0.5 	 0.3612283883537441
Research	 5 	Wage	 5 	 0.224688013136289 	 0.5 	 0.3774575703794218
Feedback	 5 	Wage	 5 	 0.22259552042160738 	 0.5952380952380952 	 0.39081605740638464
Feedback	 5 	Research	 5 	 0.1927380952380952 	 0.47619047619047616 	 0.3233038149111695
Feedback	 5 	Gender	 2 	 0.2752438268227742 	 0.9285714285714286 	 0.4980569204025759
Feedback	 5 	Grade	 5 	 0.358041958041958 	 0.5476190476190477 	 0.4364665304325638
Feedback	 5 	Title	 5 	 0.18437088274044797 	 0.5238095238095238 	 0.32587228881111757
Lloyds
Cluster1 Metric	Cluster1 Size	Cluster2 Metric	Cluster2 Size	JSHat	Purity	Fowlkes-Mallows Index
Could not get feedback for: BROWN,RICHARD B
Could not get feedback for: JOHNSON,CARTER
Could not get feedback for: LIU,FENG
Could not get feedback for: ZHE,SHANDIAN
Gender	 2 	Grade	 2 	 0 	 0 	 1.0
Gender	 2 	Title	 2 	 0 	 0 	 1.0
Gender	 2 	Wage	 2 	 0 	 0 	 1.0
Grade	 2 	Title	 2 	 0 	 0 	 1.0
Grade	 2 	Wage	 2 	 0 	 0 	 1.0
Wage	 2 	Title	 2 	 0 	 0 	 1.0
Research	 2 	Gender	 2 	 0 	 0 	 1.0
Research	 2 	Grade	 2 	 0 	 0 	 1.0
Research	 2 	Title	 2 	 0 	 0 	 1.0
Research	 2 	Wage	 2 	 0 	 0 	 1.0
Feedback	 2 	Wage	 2 	 0 	 0 	 1.0
Feedback	 2 	Research	 2 	 0 	 0 	 1.0
Feedback	 2 	Gender	 2 	 0 	 0 	 1.0
Feedback	 2 	Grade	 2 	 0 	 0 	 1.0
Feedback	 2 	Title	 2 	 0 	 0 	 1.0
Gender	 2 	Grade	 3 	 0 	 0 	 1.0
Gender	 2 	Title	 3 	 0 	 0 	 1.0
Gender	 2 	Wage	 3 	 0 	 0 	 1.0
Grade	 3 	Title	 3 	 0 	 0 	 1.0
Grade	 3 	Wage	 3 	 0 	 0 	 1.0
Wage	 3 	Title	 3 	 0 	 0 	 1.0
Research	 3 	Gender	 2 	 0 	 0 	 1.0
Research	 3 	Grade	 3 	 0 	 0 	 1.0
Research	 3 	Title	 3 	 0 	 0 	 1.0
Research	 3 	Wage	 3 	 0 	 0 	 1.0
Feedback	 3 	Wage	 3 	 0 	 0 	 1.0
Feedback	 3 	Research	 3 	 0 	 0 	 1.0
Feedback	 3 	Gender	 2 	 0 	 0 	 1.0
Feedback	 3 	Grade	 3 	 0 	 0 	 1.0
Feedback	 3 	Title	 3 	 0 	 0 	 1.0
Gender	 2 	Grade	 4 	 0 	 0 	 1.0
Gender	 2 	Title	 4 	 0 	 0 	 1.0
Gender	 2 	Wage	 4 	 0 	 0 	 1.0
Grade	 4 	Title	 4 	 0 	 0 	 1.0
Grade	 4 	Wage	 4 	 0 	 0 	 1.0
Wage	 4 	Title	 4 	 0 	 0 	 1.0
Research	 4 	Gender	 2 	 0 	 0 	 1.0
Research	 4 	Grade	 4 	 0 	 0 	 1.0
Research	 4 	Title	 4 	 0 	 0 	 1.0
Research	 4 	Wage	 4 	 0 	 0 	 1.0
Feedback	 4 	Wage	 4 	 0 	 0 	 1.0
Feedback	 4 	Research	 4 	 0 	 0 	 1.0
Feedback	 4 	Gender	 2 	 0 	 0 	 1.0
Feedback	 4 	Grade	 4 	 0 	 0 	 1.0
Feedback	 4 	Title	 4 	 0 	 0 	 1.0
Gender	 2 	Grade	 5 	 0 	 0 	 1.0
Gender	 2 	Title	 5 	 0 	 0 	 1.0
Gender	 2 	Wage	 5 	 0 	 0 	 1.0
Grade	 5 	Title	 5 	 0 	 0 	 1.0
Grade	 5 	Wage	 5 	 0 	 0 	 1.0
Wage	 5 	Title	 5 	 0 	 0 	 1.0
Research	 5 	Gender	 2 	 0 	 0 	 1.0
Research	 5 	Grade	 5 	 0 	 0 	 1.0
Research	 5 	Title	 5 	 0 	 0 	 1.0
Research	 5 	Wage	 5 	 0 	 0 	 1.0
Feedback	 5 	Wage	 5 	 0 	 0 	 1.0
Feedback	 5 	Research	 5 	 0 	 0 	 1.0
Feedback	 5 	Gender	 2 	 0 	 0 	 1.0
Feedback	 5 	Grade	 5 	 0 	 0 	 1.0
Feedback	 5 	Title	 5 	 0 	 0 	 1.0
heirarchical single
Cluster1 Metric	Cluster1 Size	Cluster2 Metric	Cluster2 Size	JSHat	Purity	Fowlkes-Mallows Index
Could not get feedback for: BROWN,RICHARD B
Could not get feedback for: JOHNSON,CARTER
Could not get feedback for: LIU,FENG
Could not get feedback for: ZHE,SHANDIAN
Gender	 2 	Grade	 2 	 0.4517374517374517 	 0.8333333333333334 	 0.7308745778485847
Gender	 2 	Title	 2 	 0.4420849420849421 	 0.9761904761904762 	 0.8633503562257498
Gender	 2 	Wage	 2 	 0.4420849420849421 	 0.9761904761904762 	 0.8633503562257498
Grade	 2 	Title	 2 	 0.41904761904761906 	 0.9761904761904762 	 0.8238527544921507
Grade	 2 	Wage	 2 	 0.41904761904761906 	 0.9761904761904762 	 0.8238527544921507
Wage	 2 	Title	 2 	 0.4883855981416957 	 0.9761904761904762 	 0.9524375743162902
Research	 2 	Gender	 2 	 0.4895470383275261 	 0.8809523809523809 	 0.8633503562257498
Research	 2 	Grade	 2 	 0.4901277584204414 	 0.8333333333333334 	 0.8238527544921507
Research	 2 	Title	 2 	 0.4883855981416957 	 0.9761904761904762 	 0.9524375743162902
Research	 2 	Wage	 2 	 0.4883855981416957 	 0.9761904761904762 	 0.9524375743162902
Feedback	 2 	Wage	 2 	 0.42350332594235035 	 0.9761904761904762 	 0.7872232109942644
Feedback	 2 	Research	 2 	 0.37327188940092165 	 0.9761904761904762 	 0.757572619243068
Feedback	 2 	Gender	 2 	 0.3901689708141321 	 0.8809523809523809 	 0.6693092086730937
Feedback	 2 	Grade	 2 	 0.761038961038961 	 0.9047619047619048 	 0.8738743988715869
Feedback	 2 	Title	 2 	 0.42350332594235035 	 0.9761904761904762 	 0.7872232109942644
Gender	 2 	Grade	 3 	 0.30223080223080223 	 0.8095238095238095 	 0.7064646456661227
Gender	 2 	Title	 3 	 0.30490117845701925 	 0.8333333333333334 	 0.7569595080822552
Gender	 2 	Wage	 3 	 0.2957957957957958 	 0.9523809523809523 	 0.8378025658961705
Grade	 3 	Title	 3 	 0.28506524561043933 	 0.8333333333333334 	 0.6873730820558995
Grade	 3 	Wage	 3 	 0.27357609710550884 	 0.9523809523809523 	 0.7741183487372256
Wage	 3 	Title	 3 	 0.6597560975609756 	 0.8571428571428571 	 0.8397372015329038
Research	 3 	Gender	 2 	 0.2957957957957958 	 0.8809523809523809 	 0.8378025658961705
Research	 3 	Grade	 3 	 0.32063492063492066 	 0.8095238095238095 	 0.7741183487372256
Research	 3 	Title	 3 	 0.32023809523809527 	 0.8333333333333334 	 0.7933195672773162
Research	 3 	Wage	 3 	 0.3182539682539683 	 0.9523809523809523 	 0.9038701622971286
Feedback	 3 	Wage	 3 	 0.2772727272727273 	 0.9523809523809523 	 0.6832016366184522
Feedback	 3 	Research	 3 	 0.2827392120075047 	 0.9523809523809523 	 0.6657730234394101
Feedback	 3 	Gender	 2 	 0.3740990990990991 	 0.8809523809523809 	 0.6277720521646353
Feedback	 3 	Grade	 3 	 0.46303696303696307 	 0.8809523809523809 	 0.7191234643732477
Feedback	 3 	Title	 3 	 0.2670314253647587 	 0.8333333333333334 	 0.563567975015379
Gender	 2 	Grade	 4 	 0.31238738738738736 	 0.7380952380952381 	 0.7111551828505095
Gender	 2 	Title	 4 	 0.2383357041251778 	 0.4523809523809524 	 0.5425121870945956
Gender	 2 	Wage	 4 	 0.22345559845559845 	 0.9047619047619048 	 0.7877757986570074
Grade	 4 	Title	 4 	 0.2222510240655402 	 0.5 	 0.4701563047439095
Grade	 4 	Wage	 4 	 0.2688076036866359 	 0.9047619047619048 	 0.7252445904826459
Wage	 4 	Title	 4 	 0.49229781771501924 	 0.47619047619047616 	 0.5689012518868254
Research	 4 	Gender	 2 	 0.2226512226512226 	 0.8809523809523809 	 0.8123212830145355
Research	 4 	Grade	 4 	 0.31474358974358974 	 0.7857142857142857 	 0.7571456384216089
Research	 4 	Title	 4 	 0.2422803314571607 	 0.47619047619047616 	 0.5549174821477745
Research	 4 	Wage	 4 	 0.3573327079424641 	 0.9285714285714286 	 0.8758596103364595
Feedback	 4 	Wage	 4 	 0.2619617224880383 	 0.9047619047619048 	 0.6885022982714509
Feedback	 4 	Research	 4 	 0.43859265734265734 	 0.9523809523809523 	 0.6679873676743279
Feedback	 4 	Gender	 2 	 0.2962596525096525 	 0.8809523809523809 	 0.6270943287265814
Feedback	 4 	Grade	 4 	 0.379490607431784 	 0.8095238095238095 	 0.6694490763374946
Feedback	 4 	Title	 4 	 0.22803092196474548 	 0.5 	 0.4193922007997442
Gender	 2 	Grade	 5 	 0.2503153153153153 	 0.7142857142857143 	 0.6863624234869944
Gender	 2 	Title	 5 	 0.20914041861410282 	 0.4523809523809524 	 0.537391226886516
Gender	 2 	Wage	 5 	 0.18530725847799018 	 0.7857142857142857 	 0.7042750026520355
Grade	 5 	Title	 5 	 0.21174603174603174 	 0.5238095238095238 	 0.453042648665039
Grade	 5 	Wage	 5 	 0.2188095238095238 	 0.7857142857142857 	 0.5747799786087924
Wage	 5 	Title	 5 	 0.3869918699186992 	 0.5952380952380952 	 0.5047450051418373
Research	 5 	Gender	 2 	 0.2105251593056471 	 0.8809523809523809 	 0.8014609649607047
Research	 5 	Grade	 5 	 0.25264616843564214 	 0.7619047619047619 	 0.7204195725166802
Research	 5 	Title	 5 	 0.3210818105554948 	 0.5238095238095238 	 0.5686877293461228
Research	 5 	Wage	 5 	 0.2793012524719841 	 0.8095238095238095 	 0.7056443651724768
Feedback	 5 	Wage	 5 	 0.23383838383838382 	 0.7857142857142857 	 0.6293969756802075
Feedback	 5 	Research	 5 	 0.35625874125874124 	 0.9047619047619048 	 0.6115178373845171
Feedback	 5 	Gender	 2 	 0.2706756756756757 	 0.9285714285714286 	 0.6301987750701445
Feedback	 5 	Grade	 5 	 0.322069107363225 	 0.7857142857142857 	 0.6389004266468772
Feedback	 5 	Title	 5 	 0.18384923899629785 	 0.5 	 0.39945692490547735
heirarchical complete
Cluster1 Metric	Cluster1 Size	Cluster2 Metric	Cluster2 Size	JSHat	Purity	Fowlkes-Mallows Index
Could not get feedback for: BROWN,RICHARD B
Could not get feedback for: JOHNSON,CARTER
Could not get feedback for: LIU,FENG
Could not get feedback for: ZHE,SHANDIAN
Gender	 2 	Grade	 2 	 0.4517374517374517 	 0.8333333333333334 	 0.7308745778485847
Gender	 2 	Title	 2 	 0.4420849420849421 	 0.9761904761904762 	 0.8633503562257498
Gender	 2 	Wage	 2 	 0.4666666666666667 	 0.6428571428571429 	 0.6572999986660756
Grade	 2 	Title	 2 	 0.41904761904761906 	 0.9761904761904762 	 0.8238527544921507
Grade	 2 	Wage	 2 	 0.4506756756756757 	 0.6428571428571429 	 0.6186221603713705
Wage	 2 	Title	 2 	 0.328042328042328 	 0.9761904761904762 	 0.7120645326535489
Research	 2 	Gender	 2 	 0.4895470383275261 	 0.8809523809523809 	 0.8633503562257498
Research	 2 	Grade	 2 	 0.4901277584204414 	 0.8333333333333334 	 0.8238527544921507
Research	 2 	Title	 2 	 0.4883855981416957 	 0.9761904761904762 	 0.9524375743162902
Research	 2 	Wage	 2 	 0.4924506387921022 	 0.6428571428571429 	 0.7120645326535489
Feedback	 2 	Wage	 2 	 0.42030075187969923 	 0.6428571428571429 	 0.5767794761836458
Feedback	 2 	Research	 2 	 0.37327188940092165 	 0.9761904761904762 	 0.757572619243068
Feedback	 2 	Gender	 2 	 0.3901689708141321 	 0.8809523809523809 	 0.6693092086730937
Feedback	 2 	Grade	 2 	 0.761038961038961 	 0.9047619047619048 	 0.8738743988715869
Feedback	 2 	Title	 2 	 0.42350332594235035 	 0.9761904761904762 	 0.7872232109942644
Gender	 2 	Grade	 3 	 0.31595138141993084 	 0.47619047619047616 	 0.5344024304047807
Gender	 2 	Title	 3 	 0.30490117845701925 	 0.8333333333333334 	 0.7569595080822552
Gender	 2 	Wage	 3 	 0.31157311157311157 	 0.6428571428571429 	 0.6460396596940076
Grade	 3 	Title	 3 	 0.21958041958041954 	 0.8333333333333334 	 0.5204531143383292
Grade	 3 	Wage	 3 	 0.25059288537549407 	 0.6428571428571429 	 0.45821903769333383
Wage	 3 	Title	 3 	 0.24260119585322837 	 0.8333333333333334 	 0.5901813859429325
Research	 3 	Gender	 2 	 0.2957957957957958 	 0.8809523809523809 	 0.8378025658961705
Research	 3 	Grade	 3 	 0.32662601626016263 	 0.5 	 0.5851165403577036
Research	 3 	Title	 3 	 0.32023809523809527 	 0.8333333333333334 	 0.7933195672773162
Research	 3 	Wage	 3 	 0.3254065040650406 	 0.6666666666666666 	 0.6962402124615255
Feedback	 3 	Wage	 3 	 0.30546642899584076 	 0.7142857142857143 	 0.5570508832180284
Feedback	 3 	Research	 3 	 0.2827392120075047 	 0.9523809523809523 	 0.6657730234394101
Feedback	 3 	Gender	 2 	 0.3740990990990991 	 0.8809523809523809 	 0.6277720521646353
Feedback	 3 	Grade	 3 	 0.49563375692407946 	 0.6190476190476191 	 0.5669523945841801
Feedback	 3 	Title	 3 	 0.2670314253647587 	 0.8333333333333334 	 0.563567975015379
Gender	 2 	Grade	 4 	 0.3188897399423715 	 0.40476190476190477 	 0.5375412985350103
Gender	 2 	Title	 4 	 0.2383357041251778 	 0.4523809523809524 	 0.5425121870945956
Gender	 2 	Wage	 4 	 0.235200103950104 	 0.5714285714285714 	 0.5823295327760417
Grade	 4 	Title	 4 	 0.21041666666666667 	 0.5238095238095238 	 0.37277601247359915
Grade	 4 	Wage	 4 	 0.20480072463768115 	 0.5714285714285714 	 0.38576099661546426
Wage	 4 	Title	 4 	 0.3965608465608465 	 0.6666666666666666 	 0.534159691275824
Research	 4 	Gender	 2 	 0.23031568153519372 	 0.8809523809523809 	 0.7539209073382647
Research	 4 	Grade	 4 	 0.32266081871345026 	 0.4523809523809524 	 0.5152124041153945
Research	 4 	Title	 4 	 0.23265455304928986 	 0.47619047619047616 	 0.5105648789220714
Research	 4 	Wage	 4 	 0.22840250965250966 	 0.5952380952380952 	 0.5396792447325698
Feedback	 4 	Wage	 4 	 0.26009286412512217 	 0.6428571428571429 	 0.4840295037558399
Feedback	 4 	Research	 4 	 0.2183787227265488 	 0.8333333333333334 	 0.5208549824546086
Feedback	 4 	Gender	 2 	 0.2820945945945946 	 0.8809523809523809 	 0.5653008519679337
Feedback	 4 	Grade	 4 	 0.3795342588446037 	 0.5714285714285714 	 0.48601258852856494
Feedback	 4 	Title	 4 	 0.21799242424242427 	 0.47619047619047616 	 0.37677633365321506
Gender	 2 	Grade	 5 	 0.25568078199657146 	 0.40476190476190477 	 0.4869741672778002
Gender	 2 	Title	 5 	 0.19081081081081078 	 0.4523809523809524 	 0.5253786234800437
Gender	 2 	Wage	 5 	 0.18871448371448374 	 0.5714285714285714 	 0.5615247703087721
Grade	 5 	Title	 5 	 0.2184313725490196 	 0.5476190476190477 	 0.3493705173929174
Grade	 5 	Wage	 5 	 0.26936507936507936 	 0.5714285714285714 	 0.3959508614637106
Wage	 5 	Title	 5 	 0.29912698412698413 	 0.6428571428571429 	 0.4698798215934849
Research	 5 	Gender	 2 	 0.186889328352743 	 0.8809523809523809 	 0.6388927402504457
Research	 5 	Grade	 5 	 0.2503896103896104 	 0.4523809523809524 	 0.39481499525450015
Research	 5 	Title	 5 	 0.17495647721454172 	 0.47619047619047616 	 0.4151826621679646
Research	 5 	Wage	 5 	 0.198755980861244 	 0.5952380952380952 	 0.45458708435248363
Feedback	 5 	Wage	 5 	 0.21838276665862874 	 0.6428571428571429 	 0.3748644516950234
Feedback	 5 	Research	 5 	 0.1676190476190476 	 0.7142857142857143 	 0.36607240951621717
Feedback	 5 	Gender	 2 	 0.22918444760550022 	 0.8809523809523809 	 0.46521982485651714
Feedback	 5 	Grade	 5 	 0.29279653679653683 	 0.5476190476190477 	 0.39260626187944275
Feedback	 5 	Title	 5 	 0.18071683218742043 	 0.47619047619047616 	 0.3077735079965984
